headline,abstract,emotion,subject,emotVal,date
"A Body Scarred, a Marriage Healed",Autumn Stephens Modern Love essay on healing her breast cancer and healing her wounded marriage; drawing (M),surprise,0,0.05723793498287175,2004-11-07
Traveling the Too-Much-Information Highway,Heather L Hunter Modern Love essay on discovering that writing daily Web log about a particularly difficult relationship can backfire; drawing (M),joy,0,0.10106430387006918,2004-11-14
"The Chicken's in the Oven, My Husband's Out the Door",Theo Pauline Nestor Modern Love column on the sudden breakup of her marriage; drawing (M),joy,1,0.21769770542608952,2004-11-21
"The Chicken's in the Oven, My Husband's Out the Door",Theo Pauline Nestor Modern Love column on the sudden breakup of her marriage; drawing (M),surprise,1,0.11386171321908448,2004-11-21
"Jill and Jill Live on the Hill, but One Must Boil the Water",Tzivia Gover Modern Love essay on gender-bending life she lives with her lesbian partner; drawing (M),joy,2,0.18210149674486928,2004-11-28
"Dedicated to Two Women, Only One of Them Alive",Brendan Halpin Modern Love column discusses difficulty of dating after death of spouse; drawing (M),sadness,3,0.23322836757632748,2004-12-05
"Dedicated to Two Women, Only One of Them Alive",Brendan Halpin Modern Love column discusses difficulty of dating after death of spouse; drawing (M),fear,3,0.18086454638773436,2004-12-05
"Dedicated to Two Women, Only One of Them Alive",Brendan Halpin Modern Love column discusses difficulty of dating after death of spouse; drawing (M),surprise,3,0.07875373329931717,2004-12-05
"Dedicated to Two Women, Only One of Them Alive",Brendan Halpin Modern Love column discusses difficulty of dating after death of spouse; drawing (M),joy,3,0.059023433331653,2004-12-05
"Our Bodies, Our Imaginations",Jean Braithwaite Modern Love column discusses insecurities about weight that can consume person about to meet date and potential lover for first time; drawing (M),joy,4,0.17054409935535275,2004-12-12
"Our Bodies, Our Imaginations",Jean Braithwaite Modern Love column discusses insecurities about weight that can consume person about to meet date and potential lover for first time; drawing (M),surprise,4,0.058539515404034126,2004-12-12
Two Beds in Motel Natchitoches,"JACK says I'm behaving like Deirdre. We are facing each other on opposite beds in a motel room in Louisiana. It is after 3 a.m. and all he's wearing are white briefs with upbeat multicolored stripes. This is no Calvin Klein advertisement. This is a baggy pair of cheap underwear on a 34-year-old with a belly. Ten days ago, I would have called him the love of my life.    Deirdre is not someone I wish to be compared to. For Jack and me she has come to represent the intersection of hopelessness and obsession. Quite simply, she would like our friend Nick to marry her, even though their four-year relationship technically ended more than a year ago. She recently bought a house around the corner from his and, as ''friends,'' they continue to eat, shop and exercise together. When the four of us went to see ''Fahrenheit 9/11,'' I noticed his hand on her knee, their fingers entwined.   ",joy,5,0.3208049165683891,2004-12-19
"Hear That Wedding March Often Enough, You Fall in Step","YES, we were on an idyllic rock on a postcard-worthy cove on the New England coast. O.K., I did have a ring -- seven actually, none with diamonds. Fine, there was fumbling and nervousness and the oh-so-slyly stashed champagne in the vegetable drawer of the refrigerator back in the cottage.     But let's get one thing straight: I didn't say the words. I didn't need to ask. She didn't need to answer. It never mattered.   ",fear,5,0.05132302810349831,2004-12-26
MODERN LOVE,Rich Cohen Modern Love column discusses fatherhood and changes in perspective it engenders; drawing (M),joy,6,0.12203626772702968,2005-01-02
MODERN LOVE,Rich Cohen Modern Love column discusses fatherhood and changes in perspective it engenders; drawing (M),surprise,6,0.05418006293183348,2005-01-02
Sometimes a Model Girlfriend Shouldn't,Kelly McMasters Modern Love column discusses difficulty of dating an artist who paints nude women; drawing (M),joy,3,0.18447001494230575,2005-01-09
Sometimes a Model Girlfriend Shouldn't,Kelly McMasters Modern Love column discusses difficulty of dating an artist who paints nude women; drawing (M),surprise,3,0.05634614607760537,2005-01-09
Like New! (With a Few Broken Parts),Irene Sherlock Modern Love column discusses dating after two divorces; drawing (M),joy,3,0.17418322322477398,2005-01-23
Like New! (With a Few Broken Parts),Irene Sherlock Modern Love column discusses dating after two divorces; drawing (M),surprise,3,0.13424799519747682,2005-01-23
His Genes Hold Gifts. Mine Carry Risk.,Bonnie J Rough Modern Love column discusses difficulty of deciding whether or not to have children when one person is carrying genetic disorder that may be passed on; drawing (M),joy,7,0.10158297250157729,2005-01-30
"The Patriots Made a Man of Me, in a Manner of Speaking",Brendan Tapley Modern Love column discusses love of football as viable bridge between homosexual social banter and that of straight men; drawing (M),joy,8,0.17433108206983708,2005-02-06
"Back From the Front, With Honor, a Warrior's Truth",Helen Gerhardt Modern Love column discusses difficulty of being lesbian in US National Guard; drawing (M),joy,1,0.10094712780200535,2005-02-13
"Back From the Front, With Honor, a Warrior's Truth",Helen Gerhardt Modern Love column discusses difficulty of being lesbian in US National Guard; drawing (M),surprise,1,0.06596298629631407,2005-02-13
His Art Is His Joy. It Just Didn't Fit My Plan.,Cathy Lickteig Makofski Modern Love column discusses difficulty parents face in understanding a son's decision to become a tattoo artist or motorcycle mechanic; drawing (M),surprise,9,0.052172571869746075,2005-02-20
When Mr. Reliable Becomes Mr. Needy,Katherine Tanney Modern Love column discusses marriages that end when one spouse is diagnosed with Alzheimer's disease; drawing (M),surprise,10,0.13248835349283383,2005-02-27
When Mr. Reliable Becomes Mr. Needy,Katherine Tanney Modern Love column discusses marriages that end when one spouse is diagnosed with Alzheimer's disease; drawing (M),sadness,10,0.10734570725092106,2005-02-27
Sending a Lost Boy to the Wilderness to Find Himself,"IT'S dark. I lie in bed with my eyes open. The windows are closed, but I can still hear the gentle midnight roar of the New Jersey Turnpike, a mere quarter-mile from the front door of my safe suburban home.      Safe, that's a joke. Walk through my house, see what my 14-year-old son has done: a pile of broken picture frames, a hole in the wall, a closet without a door, a few shards of glass still beneath a recently repaired window.  ",surprise,14,0.11923352311308996,2005-11-20
Sending a Lost Boy to the Wilderness to Find Himself,"IT'S dark. I lie in bed with my eyes open. The windows are closed, but I can still hear the gentle midnight roar of the New Jersey Turnpike, a mere quarter-mile from the front door of my safe suburban home.      Safe, that's a joke. Walk through my house, see what my 14-year-old son has done: a pile of broken picture frames, a hole in the wall, a closet without a door, a few shards of glass still beneath a recently repaired window.  ",fear,14,0.07168003675910936,2005-11-20
Point 1: We Had Fun. Point 2: It's Over. Point 3: Get Lost.,"LAST spring I broke up with someone perfect. Perfectly, that is. Last spring I broke up with someone perfectly. I set out exactly which aspects of our relationship were lacking and why, meticulously charted our decline, and pared months of frustration and disillusionment to a succinct set of woes, all without uttering a word.      It was the most orderly way I'd ever ended a relationship and the first time I'd walked away from a breakup feeling richer for it. All told, it was a source of great personal satisfaction and accomplishment, until the moment it dawned on me that I hadn't managed to pull it off.  ",sadness,15,0.09382092880087409,2005-11-27
